"","x"
"1","BTG2"
"2","FEV"
"3","MYBL2"
"4","NFE2L2"
"5","NR5A1"
"6","PLAGL2"
"7","SFPQ"
"8","SOX11"
"9","SRF"
"10","SRSF2"
"11","TCF12"
"12","AHR"
"13","ATF2"
"14","ATF3"
"15","CEBPA"
"16","CEBPD"
"17","CREB3"
"18","ELF4"
"19","GFI1B"
"20","HLX"
"21","HOXA1"
"22","HOXB13"
"23","IRF4"
"24","MAFA"
"25","MEF2A"
"26","MNT"
"27","MYBL1"
"28","POU2AF1"
"29","POU2F2"
"30","POU4F1"
"31","SPDEF"
"32","TOX3"
"33","VDR"
"34","CREBZF"
"35","HOXD13"
"36","MLXIPL"
"37","NOTCH1"
"38","SIRT1"
"39","TWIST2"
"40","ZFPM2"
"41","BHLHE40"
"42","ENO1"
"43","ARID1B"
"44","BATF"
"45","BHLHE41"
"46","CTCFL"
"47","ETV6"
"48","FOXI1"
"49","HDAC7"
"50","HOXD1"
"51","IKZF1"
"52","KLF1"
"53","MBD1"
"54","POU2F1"
"55","PRDM1"
"56","PTF1A"
"57","RREB1"
"58","ZBTB4"
"59","ASCL2"
"60","ATF5"
"61","E2F7"
"62","GATA1"
"63","HDGF"
"64","HSF4"
"65","NFIA"
"66","NFKB"
"67","ZBTB33"
"68","ZNF384"
"69","NAB2"
"70","RARA"
"71","TFDP3"
"72","E2F5"
"73","EGR4"
"74","ETV2"
"75","FOXF2"
"76","JDP2"
"77","MAFB"
"78","MAX"
"79","NFE2"
"80","RUNX1"
"81","ARID3A"
"82","ARNT"
"83","E2F3"
"84","FOXO1"
"85","GTF3A"
"86","HCFC1"
"87","HIF1A"
"88","LHX8"
"89","MECP2"
"90","MITF"
"91","NEUROG2"
"92","PARK7"
"93","SOX6"
"94","STOX1"
"95","TBPL2"
"96","TFDP1"
"97","TP53"
"98","ZHX2"
"99","ZNF804A"
"100","CREB1"
"101","DBP"
"102","KMT2B"
"103","NCOA2"
"104","RB1"
"105","RBPJ"
"106","FOXM1"
"107","NFIL3"
"108","NKX2-1"
"109","PLAG1"
